5.0067901611328125e-06 00 0
0.0005764961242675781 0 0 0
0.0008873939514160156 0 0 0
0.0011043548583984375 0 0 0
0.0013136863708496094 0 0 0
0.0015778541564941406 0 0 0
0.0019176006317138672 0 0 0
0.002203226089477539 0 0 0
0.0024013519287109375 0 0 0
0.002596139907836914 0 0 0
0.0030395984649658203 0 0 0
0.0032339096069335938 0 0 0
0.0034275054931640625 0 0 0
0.003622770309448242 0 0 0
0.003815889358520508 0 0 0
0.004010438919067383 0 0 0
0.0042645931243896484 0 0 0
0.0044689178466796875 0 0 0
0.004672527313232422 0 0 0
0.0048754215240478516 0 0 0
0.004991054534912109 0 0 0
0.005037546157836914 0 0 0
0.005084037780761719 0 0 0
0.00513005256652832 0 0 0
0.005177021026611328 0 0 0
0.005223751068115234 0 0 0
0.005270719528198242 0 0 0
0.005395650863647461 0 0 0
0.005442380905151367 0 0 0
0.005488872528076172 0 0 0
0.005535125732421875 0 0 0
0.005581378936767578 0 0 0
0.005627870559692383 0 0 0
0.0056743621826171875 0 0 0
0.0057218074798583984 0 0 0
0.0057680606842041016 0 0 0
0.005814313888549805 0 0 0
0.005860805511474609 0 0 0
0.005906105041503906 0 0 0
0.005944252014160156 0 0 0
0.005982637405395508 0 0 0
0.006020784378051758 0 0 0
0.006058931350708008 0 0 0
0.006097078323364258 0 0 0
0.006134986877441406 0 0 0
0.006173849105834961 0 0 0
0.006212949752807617 0 0 0
0.006257057189941406 0 0 0
0.0062961578369140625 0 0 0
0.006334543228149414 0 0 0
0.006372690200805664 0 0 0
0.006411075592041016 0 0 0
0.006449460983276367 0 0 0
0.006487607955932617 0 0 0
0.006525993347167969 0 0 0
0.006564140319824219 0 0 0
0.006602287292480469 0 0 0
0.00664210319519043 0 0 0
0.006680727005004883 0 0 0
0.006719112396240234 0 0 0
0.0067577362060546875 0 0 0
0.006796121597290039 0 0 0
0.006834506988525391 0 0 0
0.006885528564453125 0 0 0
0.006922483444213867 0 0 0
0.006959199905395508 0 0 0
0.00699615478515625 0 0 0
0.007032632827758789 0 0 0
0.00706934928894043 0 0 0
0.007106304168701172 0 0 0
0.007142543792724609 0 0 0
0.007180690765380859 0 0 0
0.0072176456451416016 0 0 0
0.007254600524902344 0 0 0
0.007291316986083984 0 0 0
0.007328033447265625 0 0 0
0.007364749908447266 0 0 0
0.007401466369628906 0 0 0
0.007438182830810547 0 0 0
0.0074748992919921875 0 0 0
0.0075113773345947266 0 0 0
0.007548332214355469 0 0 0
0.007584571838378906 0 0 0
0.0076215267181396484 0 0 0
0.007658243179321289 0 0 0
0.007694721221923828 0 0 0
0.007731437683105469 0 0 0
0.007768154144287109 0 0 0
0.0078051090240478516 0 0 0
0.007841348648071289 0 0 0
0.00787806510925293 0 0 0
0.007914304733276367 0 0 0
0.007951021194458008 0 0 0
0.007987499237060547 0 0 0
0.008024454116821289 0 0 0
0.008061647415161133 0 0 0
0.008098363876342773 0 0 0
0.008139371871948242 0 0 0
0.008176326751708984 0 0 0
0.008213043212890625 0 0 0
0.008249521255493164 0 0 0
0.008285760879516602 0 0 0
0.008322715759277344 0 0 0
0.008359432220458984 0 0 0
0.008396387100219727 0 0 0
0.008433818817138672 0 0 0
0.008470773696899414 0 0 0
0.008507251739501953 0 0 0
0.008543968200683594 0 0 0
0.008580446243286133 0 0 0
0.008616924285888672 0 0 0
0.008653402328491211 0 0 0
0.008690118789672852 0 0 0
0.00872659683227539 0 0 0
0.008763551712036133 0 0 0
0.008802652359008789 0 0 0
0.008839607238769531 0 0 0
0.00887608528137207 0 0 0
0.008912801742553711 0 0 0
0.008949518203735352 0 0 0
0.008986234664916992 0 0 0
0.009022951126098633 0 0 0
0.009059429168701172 0 0 0
0.009096384048461914 0 0 0
0.009132862091064453 0 0 0
0.009170770645141602 0 0 0
0.009207725524902344 0 0 0
0.009244680404663086 0 0 0
0.009281158447265625 0 0 0
0.009317874908447266 0 0 0
0.009353876113891602 0 0 0
0.009390115737915039 0 0 0
0.009427309036254883 0 0 0
0.009463787078857422 0 0 0
0.009500265121459961 0 0 0
0.009537220001220703 0 0 0
0.009573936462402344 0 0 0
0.009610414505004883 0 0 0
0.009646892547607422 0 0 0
0.009683609008789062 0 0 0
0.009720325469970703 0 0 0
0.009756803512573242 0 0 0
0.009793519973754883 0 0 0
0.00982975959777832 0 0 0
0.009878873825073242 0 0 0
0.009914159774780273 0 0 0
0.009949684143066406 0 0 0
0.009985923767089844 0 0 0
0.010023832321166992 0 0 0
0.010059595108032227 0 0 0
0.01009511947631836 0 0 0
0.01013040542602539 0 0 0
0.010165214538574219 0 0 0
0.010200023651123047 0 0 0
0.010235071182250977 0 0 0
0.01027059555053711 0 0 0
0.010305404663085938 0 0 0
0.010340213775634766 0 0 0
0.010375499725341797 0 0 0
0.010410547256469727 0 0 0
0.010445833206176758 0 0 0
0.010480880737304688 0 0 0
0.010515928268432617 0 0 0
0.010550737380981445 0 0 0
0.010586023330688477 0 0 0
0.010620832443237305 0 0 0
0.010655641555786133 0 0 0
0.010690450668334961 0 0 0
0.010725259780883789 0 0 0
0.010760068893432617 0 0 0
0.010794878005981445 0 0 0
0.010859966278076172 0 0 0
0.010915756225585938 0 0 0
0.010971784591674805 0 0 0
0.011023759841918945 0 0 0
0.011078119277954102 0 0 0
0.01112675666809082 0 0 0
0.01116180419921875 0 0 0
0.011196136474609375 0 0 0
0.01123046875 0 0 0
0.011263847351074219 0 0 0
0.01129770278930664 0 0 0
0.011335372924804688 0 0 0
0.011389732360839844 0 0 0
0.011445999145507812 0 0 0
0.011510133743286133 0 0 0
0.011561155319213867 0 0 0
0.0116119384765625 0 0 0
0.011664628982543945 0 0 0
0.01171875 0 0 0
0.011773109436035156 0 0 0
0.01182699203491211 0 0 0
0.011884689331054688 0 0 0
0.011939764022827148 0 0 0
0.011990785598754883 0 0 0
0.012024879455566406 0 0 0
0.012058258056640625 0 0 0
0.012092113494873047 0 0 0
0.012133359909057617 0 0 0
0.012166738510131836 0 0 0
0.012201547622680664 0 0 0
0.012235403060913086 0 0 0
0.012269258499145508 0 0 0
0.012302637100219727 0 0 0
0.012336492538452148 0 0 0
0.012370109558105469 0 0 0
0.012403726577758789 0 0 0
0.012436866760253906 0 0 0
0.012470483779907227 0 0 0
0.012503862380981445 0 0 0
0.012537240982055664 0 0 0
0.012570858001708984 0 0 0
0.01260519027709961 0 0 0
0.01263880729675293 0 0 0
0.01267242431640625 0 0 0
0.012705802917480469 0 0 0
0.012738943099975586 0 0 0
0.012772560119628906 0 0 0
0.012805938720703125 0 0 0
0.012839794158935547 0 0 0
0.012873172760009766 0 0 0
0.012919425964355469 0 0 0
0.012951374053955078 0 0 0
0.01298379898071289 0 0 0
0.0130157470703125 0 0 0
0.01304769515991211 0 0 0
0.013079643249511719 0 0 0
0.013112068176269531 0 0 0
0.01314401626586914 0 0 0
0.013176441192626953 0 0 0
0.013208627700805664 0 0 0
0.013240814208984375 0 0 0
0.013273000717163086 0 0 0
0.013305187225341797 0 0 0
0.01333761215209961 0 0 0
0.01336979866027832 0 0 0
0.013401985168457031 0 0 0
0.013434171676635742 0 0 0
0.013466835021972656 0 0 0
0.013498544692993164 0 0 0
0.013530731201171875 0 0 0
0.013562440872192383 0 0 0
0.013594865798950195 0 0 0
0.013626575469970703 0 0 0
0.013658761978149414 0 0 0
0.013690710067749023 0 0 0
0.013722658157348633 0 0 0
0.013755083084106445 0 0 0
0.013787508010864258 0 0 0
0.01382589340209961 0 0 0
0.013858795166015625 0 0 0
0.013891458511352539 0 0 0
0.01392364501953125 0 0 0
0.013956069946289062 0 0 0
0.013988494873046875 0 0 0
0.014020919799804688 0 0 0
0.014053583145141602 0 0 0
0.014085531234741211 0 0 0
0.014117717742919922 0 0 0
0.014150381088256836 0 0 0
0.014182567596435547 0 0 0
0.014214754104614258 0 0 0
0.014247417449951172 0 0 0
0.014279842376708984 0 0 0
0.014311790466308594 0 0 0
0.014344453811645508 0 0 0
0.014376401901245117 0 0 0
0.01440882682800293 0 0 0
0.01444101333618164 0 0 0
0.014473438262939453 0 0 0
0.014505624771118164 0 0 0
0.014537811279296875 0 0 0
0.014569997787475586 0 0 0
0.014602184295654297 0 0 0
0.014634370803833008 0 0 0
0.014666318893432617 0 0 0
0.01469874382019043 0 0 0
0.01473093032836914 0 0 0
0.014763116836547852 0 0 0
0.014795303344726562 0 0 0
0.014827728271484375 0 0 0
0.014859914779663086 0 0 0
0.014892101287841797 0 0 0
0.014926433563232422 0 0 0
0.014959096908569336 0 0 0
0.014991283416748047 0 0 0
0.015023469924926758 0 0 0
0.015055656433105469 0 0 0
0.015088081359863281 0 0 0
0.015120267868041992 0 0 0
0.015152454376220703 0 0 0
0.015184640884399414 0 0 0
0.015217065811157227 0 0 0
0.015249013900756836 0 0 0
0.01528167724609375 0 0 0
0.015313863754272461 0 0 0
0.015346288681030273 0 0 0
0.015378952026367188 0 0 0
0.015410900115966797 0 0 0
0.015442848205566406 0 0 0
0.015474796295166016 0 0 0
0.015506982803344727 0 0 0
0.015539407730102539 0 0 0
0.015571355819702148 0 0 0
0.015603780746459961 0 0 0
0.015635967254638672 0 0 0
0.015668153762817383 0 0 0
0.015700578689575195 0 0 0
0.01573324203491211 0 0 0
0.01576542854309082 0 0 0
0.015797853469848633 0 0 0
0.015830278396606445 0 0 0
0.01586294174194336 0 0 0
0.01589512825012207 0 0 0
0.015940427780151367 0 0 0
0.015971899032592773 0 0 0
0.016002893447875977 0 0 0
0.01603412628173828 0 0 0
0.016065597534179688 0 0 0
0.016096830368041992 0 0 0
0.016132354736328125 0 0 0
0.016163110733032227 0 0 0
0.01619434356689453 0 0 0
0.016225337982177734 0 0 0
0.016256332397460938 0 0 0
0.01628732681274414 0 0 0
0.016318559646606445 0 0 0
0.01634979248046875 0 0 0
0.016380786895751953 0 0 0
0.016411781311035156 0 0 0
0.01644301414489746 0 0 0
0.016474246978759766 0 0 0
0.01650547981262207 0 0 0
0.016536712646484375 0 0 0
0.016567707061767578 0 0 0
0.016598939895629883 0 0 0
0.016629934310913086 0 0 0
0.01666092872619629 0 0 0
0.016691923141479492 0 0 0
0.0167233943939209 0 0 0
